,date,nav
0,05-06-2026,194.75470
1,04-06-2026,194.52200
2,03-06-2026,194.08100
3,02-06-2026,193.12950
4,01-06-2026,192.31950
5,31-05-2026,193.68360
6,29-05-2026,193.68480
7,27-05-2026,195.05010
8,26-05-2026,194.22580
9,25-05-2026,193.55990
10,22-05-2026,192.12270
11,21-05-2026,191.75750
12,20-05-2026,189.86610
13,19-05-2026,189.55530
14,18-05-2026,187.91260
15,15-05-2026,190.24050
16,14-05-2026,189.93450
17,13-05-2026,190.46400
18,12-05-2026,190.61520
19,11-05-2026,195.58600
20,08-05-2026,196.88210
21,07-05-2026,197.47530
22,06-05-2026,196.00360
23,05-05-2026,194.56180
24,04-05-2026,195.44690
25,30-04-2026,193.41310
26,29-04-2026,194.15230
27,28-04-2026,193.48430
28,27-04-2026,193.83170
29,24-04-2026,191.04250
30,23-04-2026,193.03170
31,22-04-2026,194.19280
32,21-04-2026,192.63970
33,20-04-2026,191.05830
34,17-04-2026,190.52420
35,16-04-2026,188.33160
36,15-04-2026,187.27860
37,13-04-2026,184.34910
38,10-04-2026,184.69670
39,09-04-2026,181.24550
40,08-04-2026,180.57830
41,07-04-2026,174.83420
42,06-04-2026,174.91510
43,02-04-2026,173.84710
44,01-04-2026,173.78200
45,31-03-2026,169.37060
46,30-03-2026,169.37080
47,27-03-2026,172.47390
48,25-03-2026,175.42110
49,24-03-2026,172.00490
50,23-03-2026,169.10910
51,20-03-2026,174.62050
52,19-03-2026,173.90040
53,18-03-2026,177.49080
54,17-03-2026,174.06280
55,16-03-2026,173.81980
56,13-03-2026,173.97540
57,12-03-2026,177.98880
58,11-03-2026,178.38910
59,10-03-2026,178.84190
60,09-03-2026,175.77420
61,06-03-2026,178.97840
62,05-03-2026,179.32390
63,04-03-2026,177.99610
64,02-03-2026,181.31750
65,28-02-2026,184.75790
66,27-02-2026,184.75810
67,26-02-2026,186.09500
68,25-02-2026,186.04880
69,24-02-2026,186.20800
70,23-02-2026,187.57210
71,20-02-2026,186.22280
72,19-02-2026,186.66660
73,18-02-2026,188.21280
74,17-02-2026,187.64370
75,16-02-2026,185.84710
76,13-02-2026,187.23600
77,12-02-2026,189.60290
78,11-02-2026,189.74640
79,10-02-2026,189.01900
80,09-02-2026,188.46900
81,06-02-2026,184.62700
82,05-02-2026,185.69490
83,04-02-2026,186.77740
84,03-02-2026,186.70090
85,02-02-2026,180.54240
86,31-01-2026,183.30100
87,30-01-2026,183.30210
88,29-01-2026,179.94080
89,28-01-2026,181.08730
90,27-01-2026,179.55150
91,23-01-2026,179.80350
92,22-01-2026,182.75440
93,21-01-2026,181.53250
94,20-01-2026,181.83500
95,19-01-2026,185.40420
96,16-01-2026,186.97190
97,14-01-2026,187.33750
98,13-01-2026,187.65940
99,12-01-2026,186.18370
100,09-01-2026,187.09710
101,08-01-2026,190.16000
102,07-01-2026,193.31730
103,06-01-2026,193.70270
104,05-01-2026,194.37860
105,02-01-2026,194.57400
106,01-01-2026,193.64170
107,31-12-2025,193.77240
108,30-12-2025,191.95010
109,29-12-2025,192.54100
110,26-12-2025,192.59130
111,24-12-2025,193.28480
112,23-12-2025,193.26520
113,22-12-2025,192.25730
114,19-12-2025,191.11570
115,18-12-2025,189.54200
116,17-12-2025,190.06210
117,16-12-2025,191.31430
118,15-12-2025,193.13250
119,12-12-2025,192.33770
120,11-12-2025,191.49520
121,10-12-2025,191.25570
122,09-12-2025,191.35730
123,08-12-2025,190.15910
124,05-12-2025,193.14510
125,04-12-2025,193.45990
126,03-12-2025,194.33550
127,02-12-2025,194.43120
128,01-12-2025,195.36260
129,30-11-2025,194.97900
130,28-11-2025,194.97840
131,27-11-2025,195.14900
132,26-11-2025,195.85550
133,25-11-2025,194.20420
134,24-11-2025,193.90920
135,21-11-2025,194.25170
136,20-11-2025,196.07320
137,19-11-2025,196.52800
138,18-11-2025,196.94780
139,17-11-2025,197.92120
