month,category,net_inflow_crore
2024-04-30,Large Cap,2413.0
2024-04-30,Mid Cap,3897.0
2024-04-30,Small Cap,3533.0
2024-04-30,Flexi Cap,4947.0
2024-04-30,Large & Mid Cap,4214.0
2024-04-30,ELSS,466.0
2024-04-30,Value/Contra,1328.0
2024-04-30,Sectoral/Thematic,8052.0
2024-04-30,Liquid,37537.0
2024-04-30,Short Duration,4400.0
2024-04-30,Gilt,784.0
2024-04-30,Hybrid,2955.0
2024-05-31,Large Cap,2076.0
2024-05-31,Mid Cap,5300.0
2024-05-31,Small Cap,4092.0
2024-05-31,Flexi Cap,5529.0
2024-05-31,Large & Mid Cap,4368.0
2024-05-31,ELSS,553.0
2024-05-31,Value/Contra,1361.0
2024-05-31,Sectoral/Thematic,8354.0
2024-05-31,Liquid,41872.0
2024-05-31,Short Duration,4833.0
2024-05-31,Gilt,836.0
2024-05-31,Hybrid,3487.0
2024-06-30,Large Cap,2519.0
2024-06-30,Mid Cap,5047.0
2024-06-30,Small Cap,3535.0
2024-06-30,Flexi Cap,4478.0
2024-06-30,Large & Mid Cap,4610.0
2024-06-30,ELSS,472.0
2024-06-30,Value/Contra,1386.0
2024-06-30,Sectoral/Thematic,10030.0
2024-06-30,Liquid,40486.0
2024-06-30,Short Duration,4321.0
2024-06-30,Gilt,864.0
2024-06-30,Hybrid,3163.0
2024-07-31,Large Cap,2574.0
2024-07-31,Mid Cap,4548.0
2024-07-31,Small Cap,3582.0
2024-07-31,Flexi Cap,4869.0
2024-07-31,Large & Mid Cap,5023.0
2024-07-31,ELSS,471.0
2024-07-31,Value/Contra,1582.0
2024-07-31,Sectoral/Thematic,9896.0
2024-07-31,Liquid,34643.0
2024-07-31,Short Duration,4170.0
2024-07-31,Gilt,959.0
2024-07-31,Hybrid,3291.0
2024-08-31,Large Cap,1940.0
2024-08-31,Mid Cap,3899.0
2024-08-31,Small Cap,3376.0
2024-08-31,Flexi Cap,5562.0
2024-08-31,Large & Mid Cap,5411.0
2024-08-31,ELSS,499.0
2024-08-31,Value/Contra,1308.0
2024-08-31,Sectoral/Thematic,8360.0
2024-08-31,Liquid,41952.0
2024-08-31,Short Duration,4658.0
2024-08-31,Gilt,952.0
2024-08-31,Hybrid,3684.0
2024-09-30,Large Cap,1879.0
2024-09-30,Mid Cap,4960.0
2024-09-30,Small Cap,4137.0
2024-09-30,Flexi Cap,5397.0
2024-09-30,Large & Mid Cap,4528.0
2024-09-30,ELSS,537.0
2024-09-30,Value/Contra,1334.0
2024-09-30,Sectoral/Thematic,8518.0
2024-09-30,Liquid,35308.0
2024-09-30,Short Duration,5327.0
2024-09-30,Gilt,925.0
2024-09-30,Hybrid,3015.0
2024-10-31,Large Cap,2255.0
2024-10-31,Mid Cap,4106.0
2024-10-31,Small Cap,4444.0
2024-10-31,Flexi Cap,6004.0
2024-10-31,Large & Mid Cap,4581.0
2024-10-31,ELSS,537.0
2024-10-31,Value/Contra,1595.0
2024-10-31,Sectoral/Thematic,7680.0
2024-10-31,Liquid,39091.0
2024-10-31,Short Duration,4675.0
2024-10-31,Gilt,898.0
2024-10-31,Hybrid,3314.0
2024-11-30,Large Cap,1870.0
2024-11-30,Mid Cap,4336.0
2024-11-30,Small Cap,3256.0
2024-11-30,Flexi Cap,6111.0
2024-11-30,Large & Mid Cap,5556.0
2024-11-30,ELSS,571.0
2024-11-30,Value/Contra,1436.0
2024-11-30,Sectoral/Thematic,7397.0
2024-11-30,Liquid,40506.0
2024-11-30,Short Duration,5316.0
2024-11-30,Gilt,704.0
2024-11-30,Hybrid,3264.0
2024-12-31,Large Cap,1923.0
2024-12-31,Mid Cap,5023.0
2024-12-31,Small Cap,4249.0
2024-12-31,Flexi Cap,4654.0
2024-12-31,Large & Mid Cap,4878.0
2024-12-31,ELSS,521.0
2024-12-31,Value/Contra,1414.0
2024-12-31,Sectoral/Thematic,9820.0
2024-12-31,Liquid,34933.0
2024-12-31,Short Duration,4159.0
2024-12-31,Gilt,831.0
2024-12-31,Hybrid,3538.0
2025-01-31,Large Cap,2025.0
2025-01-31,Mid Cap,4316.0
2025-01-31,Small Cap,4554.0
2025-01-31,Flexi Cap,5603.0
2025-01-31,Large & Mid Cap,4816.0
2025-01-31,ELSS,516.0
2025-01-31,Value/Contra,1339.0
2025-01-31,Sectoral/Thematic,7893.0
2025-01-31,Liquid,33892.0
2025-01-31,Short Duration,4752.0
2025-01-31,Gilt,744.0
2025-01-31,Hybrid,2967.0
2025-02-28,Large Cap,1925.0
2025-02-28,Mid Cap,4819.0
2025-02-28,Small Cap,3534.0
2025-02-28,Flexi Cap,6068.0
2025-02-28,Large & Mid Cap,5524.0
2025-02-28,ELSS,437.0
2025-02-28,Value/Contra,1400.0
2025-02-28,Sectoral/Thematic,9215.0
2025-02-28,Liquid,32374.0
2025-02-28,Short Duration,4033.0
2025-02-28,Gilt,942.0
2025-02-28,Hybrid,3360.0
2025-03-31,Large Cap,2234.0
2025-03-31,Mid Cap,5061.0
2025-03-31,Small Cap,4304.0
2025-03-31,Flexi Cap,4767.0
2025-03-31,Large & Mid Cap,4243.0
2025-03-31,ELSS,500.0
2025-03-31,Value/Contra,1497.0
2025-03-31,Sectoral/Thematic,8614.0
2025-03-31,Liquid,38681.0
2025-03-31,Short Duration,4886.0
2025-03-31,Gilt,956.0
2025-03-31,Hybrid,2830.0
