month,sip_inflow_crore,active_sip_accounts_crore,new_sip_accounts_lakh,sip_aum_lakh_crore,yoy_growth_pct
2022-01-31,11517,4.91,9.1,4.8,0.0
2022-02-28,11438,4.93,8.2,4.85,0.0
2022-03-31,12328,5.09,10.5,5.01,0.0
2022-04-30,11863,5.48,9.52,5.12,0.0
2022-05-31,12286,5.55,8.1,5.15,0.0
2022-06-30,12276,5.6,7.5,5.18,0.0
2022-07-31,12140,5.65,9.21,5.25,0.0
2022-08-31,12694,5.71,8.9,5.31,0.0
2022-09-30,12976,5.8,9.4,5.41,0.0
2022-10-31,13040,5.93,9.52,5.55,0.0
2022-11-30,13306,6.0,8.8,5.62,0.0
2022-12-31,13573,6.05,7.6,5.7,0.0
2023-01-31,13856,6.13,9.1,5.82,20.31
2023-02-28,13687,6.19,8.2,5.88,19.66
2023-03-31,14276,6.32,10.0,6.01,15.8
2023-04-30,14749,6.41,9.25,6.15,24.33
2023-05-31,14749,6.5,8.7,6.22,20.05
2023-06-30,14734,6.55,7.9,6.3,20.02
2023-07-31,15245,6.65,9.8,6.45,25.58
2023-08-31,15814,6.73,9.1,6.58,24.58
2023-09-30,16042,6.82,10.2,6.72,23.63
2023-10-31,16928,6.91,9.5,6.9,29.82
2023-11-30,17073,7.0,8.8,7.05,28.31
2023-12-31,17610,7.1,8.4,7.18,29.74
2024-01-31,18838,7.2,9.6,7.35,35.96
2024-02-29,19187,7.3,8.5,7.52,40.18
2024-03-31,20371,7.4,9.0,7.71,42.69
2024-04-30,20371,7.6,9.4,7.9,38.12
2024-05-31,21262,7.78,8.9,8.15,44.16
2024-06-30,21262,7.9,8.2,8.35,44.31
2024-07-31,23332,8.0,10.0,8.56,53.05
2024-08-31,23547,8.11,9.8,8.78,48.9
2024-09-30,24509,8.22,9.2,8.98,52.78
2024-10-31,25323,8.3,9.55,9.22,49.59
2024-11-30,25320,8.4,9.1,9.45,48.3
2024-12-31,26459,8.5,9.3,9.7,50.25
2025-01-31,26400,8.22,9.1,13.0,40.14
2025-02-28,25999,8.3,8.6,13.18,35.5
2025-03-31,25926,8.11,7.8,13.35,27.27
2025-04-30,26632,8.38,46.0,13.55,30.73
2025-05-31,26688,8.5,9.2,13.72,25.52
2025-06-30,27274,8.62,9.5,13.88,28.28
2025-07-31,28464,8.75,10.2,14.05,22.0
2025-08-31,28265,8.85,9.8,15.18,20.04
2025-09-30,29361,9.0,10.5,15.38,19.8
2025-10-31,29529,9.1,9.45,15.55,16.61
2025-11-30,30200,9.2,9.1,15.72,19.27
2025-12-31,31002,9.35,9.8,15.9,17.17
