amfi_code,scheme_name,alpha,beta
119551,SBI Bluechip Fund - Regular Plan - Growth,0.87,0.89
119552,SBI Bluechip Fund - Direct Plan - Growth,1.78,0.87
119598,SBI Small Cap Fund - Regular Plan - Growth,1.23,0.89
119599,SBI Small Cap Fund - Direct Plan - Growth,1.13,1.04
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,1.6,0.22
100016,HDFC Top 100 Fund - Regular Plan - Growth,0.78,0.97
125497,HDFC Top 100 Fund - Direct Plan - Growth,1.13,0.97
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.95,0.91
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.9,1.04
100025,HDFC Short Term Debt Fund - Regular - Growth,1.98,0.44
120503,ICICI Pru Bluechip Fund - Regular - Growth,0.66,0.96
120504,ICICI Pru Bluechip Fund - Direct - Growth,0.88,1.03
120505,ICICI Pru Midcap Fund - Regular - Growth,0.89,1.0
120506,ICICI Pru Value Discovery Fund - Regular - Growth,0.55,0.92
120507,ICICI Pru Liquid Fund - Regular - Growth,1.85,0.26
118632,Nippon India Large Cap Fund - Regular - Growth,0.86,0.88
118633,Nippon India Large Cap Fund - Direct - Growth,1.7,1.02
118634,Nippon India Small Cap Fund - Regular - Growth,0.8,1.03
118635,Nippon India ETF Nifty 50 BeES,1.8,1.04
118636,Nippon India Gilt Securities Fund - Regular - Growth,0.89,0.37
120841,Kotak Bluechip Fund - Regular - Growth,1.27,0.93
120842,Kotak Emerging Equity Fund - Regular - Growth,1.91,1.0
120843,Kotak Flexicap Fund - Regular - Growth,1.85,0.95
120844,Kotak Liquid Fund - Regular - Growth,1.52,0.47
119092,Axis Bluechip Fund - Regular - Growth,1.41,0.91
119093,Axis Bluechip Fund - Direct - Growth,1.43,0.87
119094,Axis Midcap Fund - Regular - Growth,1.42,1.0
119095,Axis Small Cap Fund - Regular - Growth,0.51,1.0
101206,ABSL Frontline Equity Fund - Regular - Growth,1.34,1.03
101207,ABSL Small Cap Fund - Regular - Growth,1.84,0.97
101208,ABSL Liquid Fund - Regular - Growth,1.18,0.43
102885,UTI Nifty 50 Index Fund - Regular - Growth,0.93,0.9
102886,UTI Mid Cap Fund - Regular - Growth,1.12,0.92
102887,UTI Flexi Cap Fund - Regular - Growth,1.79,1.0
148567,Mirae Asset Large Cap Fund - Regular - Growth,1.62,0.96
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,1.7,0.99
148569,Mirae Asset Tax Saver Fund - Regular - Growth,0.54,0.98
149322,DSP Top 100 Equity Fund - Regular - Growth,1.82,0.91
149323,DSP Midcap Fund - Regular - Growth,1.02,0.98
149324,DSP Small Cap Fund - Regular - Growth,0.69,0.98
