investor_id,num_sip_transactions,avg_gap_days,risk_status
INV000004,6,85.4,At Risk
INV000008,6,70.4,At Risk
INV000010,6,64.8,At Risk
INV000011,7,40.166666666666664,At Risk
INV000012,8,57.0,At Risk
INV000013,7,55.333333333333336,At Risk
INV000014,7,75.33333333333333,At Risk
INV000023,8,58.57142857142857,At Risk
INV000028,6,93.6,At Risk
INV000029,7,60.666666666666664,At Risk
INV000030,9,47.625,At Risk
INV000033,8,45.57142857142857,At Risk
INV000039,6,68.6,At Risk
INV000045,6,70.6,At Risk
INV000048,9,46.0,At Risk
INV000052,6,36.2,At Risk
INV000056,6,74.8,At Risk
INV000057,8,49.714285714285715,At Risk
INV000069,10,49.111111111111114,At Risk
INV000072,6,83.0,At Risk
INV000073,9,48.25,At Risk
INV000074,8,72.57142857142857,At Risk
INV000075,6,74.8,At Risk
INV000076,6,91.8,At Risk
INV000079,6,65.8,At Risk
INV000081,7,81.33333333333333,At Risk
INV000082,7,83.66666666666667,At Risk
INV000086,10,44.666666666666664,At Risk
INV000087,6,92.8,At Risk
INV000091,8,44.0,At Risk
INV000093,7,55.5,At Risk
INV000094,6,44.8,At Risk
INV000095,6,69.4,At Risk
INV000097,7,54.5,At Risk
INV000101,8,65.0,At Risk
INV000102,8,65.28571428571429,At Risk
INV000103,6,83.4,At Risk
INV000105,8,57.0,At Risk
INV000109,9,46.25,At Risk
INV000113,8,46.0,At Risk
INV000123,7,59.666666666666664,At Risk
INV000128,6,82.0,At Risk
INV000131,7,56.0,At Risk
INV000132,6,71.0,At Risk
INV000133,6,88.2,At Risk
INV000138,6,76.2,At Risk
INV000145,6,89.4,At Risk
INV000146,6,66.8,At Risk
INV000148,9,52.0,At Risk
INV000155,7,37.333333333333336,At Risk
INV000161,7,73.0,At Risk
INV000163,8,61.0,At Risk
INV000164,6,61.8,At Risk
INV000169,7,67.83333333333333,At Risk
INV000173,7,57.666666666666664,At Risk
INV000175,7,83.66666666666667,At Risk
INV000177,8,65.42857142857143,At Risk
INV000180,6,61.8,At Risk
INV000183,9,56.125,At Risk
INV000191,7,56.5,At Risk
INV000194,7,58.0,At Risk
INV000195,6,77.4,At Risk
INV000196,7,69.0,At Risk
INV000201,9,51.125,At Risk
INV000205,8,62.57142857142857,At Risk
INV000210,8,70.71428571428571,At Risk
INV000214,6,94.8,At Risk
INV000217,6,92.0,At Risk
INV000228,9,59.75,At Risk
INV000236,8,67.14285714285714,At Risk
INV000238,6,93.6,At Risk
INV000239,8,48.857142857142854,At Risk
INV000243,6,88.2,At Risk
INV000245,6,92.2,At Risk
INV000249,7,45.5,At Risk
INV000252,6,50.4,At Risk
INV000255,6,48.6,At Risk
INV000256,6,70.2,At Risk
INV000259,6,70.6,At Risk
INV000260,8,59.57142857142857,At Risk
INV000262,8,53.57142857142857,At Risk
INV000263,8,68.42857142857143,At Risk
INV000265,10,53.44444444444444,At Risk
INV000268,7,62.333333333333336,At Risk
INV000279,9,43.375,At Risk
INV000280,9,55.75,At Risk
INV000283,6,68.0,At Risk
INV000287,7,69.83333333333333,At Risk
INV000289,8,62.714285714285715,At Risk
INV000291,6,89.0,At Risk
INV000292,7,46.0,At Risk
INV000293,7,47.0,At Risk
INV000297,6,90.6,At Risk
INV000299,6,85.2,At Risk
INV000304,7,70.0,At Risk
INV000309,8,52.0,At Risk
INV000310,7,75.83333333333333,At Risk
INV000318,6,97.4,At Risk
INV000319,7,73.5,At Risk
INV000321,7,72.83333333333333,At Risk
INV000328,9,37.5,At Risk
INV000331,8,50.714285714285715,At Risk
INV000334,7,25.5,Active
INV000335,6,96.0,At Risk
INV000339,6,94.0,At Risk
INV000341,8,54.42857142857143,At Risk
INV000356,6,54.4,At Risk
INV000359,9,54.125,At Risk
INV000363,7,77.0,At Risk
INV000369,6,43.8,At Risk
INV000371,8,59.285714285714285,At Risk
INV000372,7,54.5,At Risk
INV000380,6,97.0,At Risk
INV000388,9,53.625,At Risk
INV000392,7,77.16666666666667,At Risk
INV000395,7,55.666666666666664,At Risk
INV000396,6,83.2,At Risk
INV000399,10,49.55555555555556,At Risk
INV000400,6,62.6,At Risk
INV000403,6,58.2,At Risk
INV000407,6,82.4,At Risk
INV000408,6,46.8,At Risk
INV000412,8,43.714285714285715,At Risk
INV000414,8,66.28571428571429,At Risk
INV000415,7,66.16666666666667,At Risk
INV000418,6,86.8,At Risk
INV000427,7,68.5,At Risk
INV000428,8,52.142857142857146,At Risk
INV000429,6,77.2,At Risk
INV000437,6,97.8,At Risk
INV000440,8,69.57142857142857,At Risk
INV000441,6,60.8,At Risk
INV000444,6,73.2,At Risk
INV000445,9,57.75,At Risk
INV000446,6,38.6,At Risk
INV000449,6,46.8,At Risk
INV000452,9,49.375,At Risk
INV000457,6,91.4,At Risk
INV000460,6,43.4,At Risk
INV000463,7,65.16666666666667,At Risk
INV000466,7,73.33333333333333,At Risk
INV000467,10,56.666666666666664,At Risk
INV000469,7,70.5,At Risk
INV000483,8,70.42857142857143,At Risk
INV000491,6,95.0,At Risk
INV000493,10,47.55555555555556,At Risk
INV000497,7,71.83333333333333,At Risk
INV000499,7,77.83333333333333,At Risk
INV000507,7,70.16666666666667,At Risk
INV000512,9,54.75,At Risk
INV000522,6,100.8,At Risk
INV000524,7,55.0,At Risk
INV000527,6,50.8,At Risk
INV000529,6,59.2,At Risk
INV000531,7,47.0,At Risk
INV000539,7,77.0,At Risk
INV000540,7,73.5,At Risk
INV000543,7,83.66666666666667,At Risk
INV000545,6,80.6,At Risk
INV000546,9,55.0,At Risk
INV000547,6,55.8,At Risk
INV000549,6,96.2,At Risk
INV000553,6,72.0,At Risk
INV000554,6,70.2,At Risk
INV000556,8,52.42857142857143,At Risk
INV000562,6,74.4,At Risk
INV000563,7,76.33333333333333,At Risk
INV000566,7,35.0,Active
INV000567,6,63.8,At Risk
INV000568,6,62.4,At Risk
INV000570,8,67.28571428571429,At Risk
INV000573,7,50.833333333333336,At Risk
INV000575,6,71.6,At Risk
INV000578,7,66.83333333333333,At Risk
INV000581,7,78.33333333333333,At Risk
INV000586,7,44.5,At Risk
INV000589,9,59.125,At Risk
INV000591,7,64.5,At Risk
INV000593,6,74.2,At Risk
INV000596,9,51.75,At Risk
INV000597,6,88.6,At Risk
INV000599,7,81.5,At Risk
INV000607,7,66.66666666666667,At Risk
INV000608,6,100.2,At Risk
INV000609,6,47.0,At Risk
INV000612,11,49.3,At Risk
INV000615,7,55.833333333333336,At Risk
INV000624,7,31.666666666666668,Active
INV000625,6,86.4,At Risk
INV000630,7,68.66666666666667,At Risk
INV000631,6,54.0,At Risk
INV000634,9,52.25,At Risk
INV000635,6,75.0,At Risk
INV000641,6,54.8,At Risk
INV000642,9,53.5,At Risk
INV000645,6,66.0,At Risk
INV000646,7,62.333333333333336,At Risk
INV000651,6,94.0,At Risk
INV000652,6,93.8,At Risk
INV000657,8,64.71428571428571,At Risk
INV000662,8,66.14285714285714,At Risk
INV000663,6,94.4,At Risk
INV000665,10,36.22222222222222,At Risk
INV000667,6,68.0,At Risk
INV000673,6,92.8,At Risk
INV000675,6,62.8,At Risk
INV000676,11,35.3,At Risk
INV000678,7,63.333333333333336,At Risk
INV000683,9,54.5,At Risk
INV000690,8,56.285714285714285,At Risk
INV000691,6,66.4,At Risk
INV000698,9,52.25,At Risk
INV000699,6,42.8,At Risk
INV000701,7,83.66666666666667,At Risk
INV000707,9,34.375,Active
INV000709,7,65.16666666666667,At Risk
INV000710,6,88.6,At Risk
INV000714,9,37.0,At Risk
INV000718,7,57.833333333333336,At Risk
INV000719,7,72.83333333333333,At Risk
INV000724,6,81.2,At Risk
INV000725,7,67.66666666666667,At Risk
INV000734,8,64.0,At Risk
INV000737,6,92.6,At Risk
INV000747,6,84.6,At Risk
INV000750,9,26.5,Active
INV000751,9,53.0,At Risk
INV000754,7,72.33333333333333,At Risk
INV000759,7,83.0,At Risk
INV000761,7,75.16666666666667,At Risk
INV000768,8,60.0,At Risk
INV000772,6,46.0,At Risk
INV000774,7,73.66666666666667,At Risk
INV000776,8,59.42857142857143,At Risk
INV000777,6,66.0,At Risk
INV000778,8,59.714285714285715,At Risk
INV000779,6,75.0,At Risk
INV000783,6,89.8,At Risk
INV000785,6,32.6,Active
INV000786,9,64.125,At Risk
INV000789,8,55.142857142857146,At Risk
INV000793,8,69.14285714285714,At Risk
INV000803,7,77.16666666666667,At Risk
INV000814,6,94.0,At Risk
INV000822,7,55.5,At Risk
INV000823,7,39.666666666666664,At Risk
INV000827,8,58.285714285714285,At Risk
INV000830,6,72.2,At Risk
INV000833,8,67.28571428571429,At Risk
INV000836,6,84.8,At Risk
INV000843,6,55.6,At Risk
INV000844,7,66.16666666666667,At Risk
